geo_unit,year,inbound_total,outbound_mobility_ratio,inbound_mobility_rate,outbound_total
ALB,2022,1872,11.96020030975342,1.511139812721989,14816
ALB,2023,2012,12.42074012756348,1.657986683367394,15073
ALB,2024,2254,NA,1.8773477257773,NA
AND,2022,246,112.838623046875,16.58799934387207,1673
AND,2023,304,62.34164047241211,11.22599704579025,1688
AND,2024,305,NA,10.11608623548922,NA
ARE,2022,225845,5.782939910888672,70.20426177978516,18604
ARE,2023,237034,5.682040214538574,69.7259292602539,19316
ARE,2024,238986,NA,65.00349516253185,NA
ARG,2022,137116,0.3143700063228607,3.685035315504072,11697
ARG,2023,126566,0.3330599963665009,3.387146154208469,12445
ARM,2022,6735,5.650259971618652,7.255588472932939,5245
ARM,2023,6680,5.095499992370605,7.016069740573469,4851
ARM,2024,8150,NA,8.439936968144044,NA
AUS,2022,382007,0.8135499954223633,23.02597045898438,13497
AUS,2023,467074,0.7790700197219849,27.19080924987793,13383
AUS,2024,580287,NA,31.63233947753906,NA
AUT,2022,85196.5546875,6.015100002288818,19.38591957092285,26435
AUT,2023,87009.5625,6.203770160675049,19.95174026489258,27055
AUT,2024,92054.3984375,NA,20.81572914123535,NA
AZE,2022,6377,19.19547080993652,2.391946077125914,51176
AZE,2023,7052,18.24294090270996,2.531427463762393,50821
AZE,2024,7741,NA,2.682324242098734,NA
BDI,2023,6035,5.777589797973633,8.634129524230957,4038
BDI,2025,8934,NA,10.7386302947998,NA
BEL,2022,55747,3.197319984436035,10.14690971374512,17566
BEL,2023,57281,3.233550071716309,10.39583969116211,17817
BEN,2022,3972,7.92372989654541,3.086889982223511,10196
BFA,2022,3594,4.105209827423096,1.762317589832104,8372
BFA,2023,4091,3.844650030136108,1.858464166303242,8463
BFA,2024,4279,NA,1.894184203769776,NA
BGD,2022,2281,1.675619959831238,0.0598308578239404,63882
BGR,2022,19162,8.876620292663574,8.442119598388672,20148
BGR,2023,19250,8.242810249328613,8.697420120239258,18244
BGR,2024,15438,NA,7.888730049133301,NA
BHR,2022,5720,8.339119911193848,10.57457664719367,4511
BHR,2023,5475,8.562270164489746,10.12033494149615,4632
BHR,2024,5864,NA,10.79727490333272,NA
BIH,2022,5691,19.16518020629883,7.190330028533936,15169
BIH,2023,6081,19.96550941467285,7.901299953460693,15366
BLR,2022,25627,8.105210304260254,7.72338767663579,26941
BLR,2023,21867,8.691610336303711,6.99213914730166,27244
BLR,2024,20294,NA,6.622093004284422,NA
BLZ,2022,188,9.859319686889648,2.0057612290622,924
BLZ,2023,36,9.863019943237305,0.4039497307001795,879
BLZ,2024,183,NA,1.863733577757409,NA
BMU,2023,43,166.6550445556641,7.375639915466309,972
BRA,2022,24009,0.8933899998664856,0.2457599937915802,87279
BRA,2023,25186,0.8687700033187866,0.2445899993181229,89459
BRA,2024,27989,NA,0.2652300000190735,NA
BRN,2023,577,17.24114036560059,4.658490180969238,2135
BWA,2022,1290,4.616690158843994,2.495405745236483,2387
BWA,2023,2172,5.146440029144287,4.242353216922536,2635
CAN,2022,336837,2.846240043640137,18.57029914855957,51627
CAN,2023,389181,2.837300062179565,21.18582916259766,52121
CHE,2022,64847,5.713940143585205,19.1284008026123,19371
CHE,2023,66189,5.931270122528076,19.71876907348633,19909
CHE,2024,67805,NA,20.10210037231445,NA
