NUMERO_ED;École doctorale;Sigle de l'ED;ANNEE;ANNEE_UNIVERSITAIRE;RENTREE;TOTAL_PREMIERS_INSCRITS;TOTAL_DIP_FR;MASTER;INGENIEUR;EC_COM;DIP_FR_AUTRE;TOTAL_DIP_ETRANGER;DIP_EUROPE_UE;DIP_EUROPE_HORS_UE;DIP_ASIE;DIP_AFRIQUE;DIP_AMERIQUES;DIP_AUSTRALIE_OCEANIE;DIP_ETR_AUTRE_NR;id_paysage_ED
67;École doctorale Sciences juridiques et politiques;;2025;2024-25;2024;46;42;39;1;0;2;4;0;0;1;3;0;0;0;qrOj1
178;École doctorale Sciences fondamentales;;2025;2024-25;2024;41;35;31;4;0;0;6;3;0;1;0;2;0;0;1AiR7
211;École doctorale Sciences exactes et leurs applications;ED SEA;2025;2024-25;2024;47;34;26;8;0;0;13;2;3;1;4;3;0;0;1G1iC
432;École doctorale Sciences des métiers de l'ingénieur;SMI;2025;2024-25;2024;135;100;52;47;0;1;35;9;2;8;14;2;0;0;nSsHB
472;École doctorale de l'EPHE;;2025;2024-25;2024;111;75;72;2;0;1;36;18;5;10;2;1;0;0;27zK4
575;École doctorale Electrical, Optical, Bio : Physics and Engineering;EOBE;2025;2024-25;2024;89;72;45;27;0;0;17;7;2;2;1;5;0;0;dfhyn
591;École doctorale Physique, Sciences de l'Ingenieur, Materiaux, Énergie;PSIME;2025;2024-25;2024;83;57;39;18;0;0;26;2;0;8;13;3;0;0;Hn5Om
124;École doctorale Histoire de l'art et archéologie;;2024;2023-24;2023;21;19;18;0;0;1;2;1;1;0;0;0;0;0;MBN4L
205;École doctorale Interdisciplinaire Sciences-Santé;EDISS;2024;2023-24;2023;53;46;41;5;0;0;7;2;1;2;1;1;0;0;69W38
265;École doctorale Langues, littératures et sociétés du monde;;2024;2023-24;2023;49;31;30;0;0;1;18;5;3;6;3;1;0;0;4YWGW
354;École doctorale Langues, lettres et arts;LLA;2024;2023-24;2023;41;31;31;0;0;0;10;5;0;2;2;1;0;0;RwcSv
355;École doctorale Espaces, cultures, sociétés;;2024;2023-24;2023;46;42;39;0;0;3;4;2;0;2;0;0;0;0;2kMf5
566;École doctorale Sciences du Sport, de la Motricité et du Mouvement Humain;SMMH;2024;2023-24;2023;33;27;24;2;0;1;6;1;1;0;3;0;1;0;3iv8y
594;École doctorale Sociétés, Espaces, Pratiques, Temps;ED SEPT;2024;2023-24;2023;60;55;53;1;0;1;5;2;0;0;2;1;0;0;N85H3
600;École doctorale Écologie, Géosciences, Agronomie et Alimentation;EGAAL;2024;2023-24;2023;46;42;32;9;0;1;4;0;0;3;1;0;0;0;urS33
634;École doctorale Sciences, Ingénierie, Environnement;SIE;2024;2023-24;2023;34;25;15;9;0;1;9;1;1;3;4;0;0;0;TOc8f
37;École doctorale Sciences physiques pour l'ingénieur et microtechniques;SPIM;2023;2022-23;2022;90;58;39;19;0;0;32;3;3;13;10;3;0;0;F7G1B
571;École doctorale Sciences Chimiques : Molécules, Matériaux, Instrumentation et Biosystemes;2MIB;2020;2019-20;2019;86;70;54;16;0;0;16;1;2;12;1;0;0;0;zbi37
589;École doctorale Milieu insulaire tropical à risques : protection, valorisation , santé et développement;;2020;2019-20;2019;29;24;22;2;0;0;5;1;0;0;1;3;0;0;2cqi3
560;École doctorale Sciences de la terre et de l'environnement et Physique de l'univers, Paris;STEP'UP;2018;2017-18;2017;53;38;33;4;0;1;15;10;0;5;0;0;0;0;Z2VI9
579;École doctorale Sciences mécaniques et energétiques, matériaux et géosciences;SMEMaG;2018;2017-18;2017;85;67;45;21;0;1;18;5;2;6;2;3;0;0;atMj7
