Attention;Année universitaire;Type d'établissement;Typologie de l'établissement;Identifiant interne de l'établissement;Établissement;Identifiant wikidata;Identifiant Research Organization Registry (ROR);Identifiant(s) UAI;Nombre d'étudiants inscrits (inscriptions principales) hors doubles inscriptions CPGE;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Nombre total d'étudiants inscrits (inscriptions principales et secondes) hors doubles inscriptions CPGE;Nombre total d'étudiants inscrits (inscriptions principales et secondes) y compris doubles inscriptions CPGE;Nombre de nouveaux bacheliers inscrits hors doubles inscriptions CPGE;Nombre de nouveaux bacheliers inscrits y compris doubles inscriptions CPGE;Nombre d'étudiants préparant un diplôme d'État d'infirmier en IFSI;Sexe : Femmes;Sexe : Hommes;Bac : Séries générales;Bac : Séries STMG;Bac : Autres séries technologiques;Bac : Baccalauréat professionnel;Bac : Dispensés;Bac : Non renseigné;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;Attractivité départementale (département d'obtention du baccalauréat) : Même département;Attractivité départementale (département d'obtention du baccalauréat) : Départements limitrophes;Attractivité départementale (département d'obtention du baccalauréat) : Autres départements français;Attractivité départementale (département d'obtention du baccalauréat) : Etranger;Attractivité départementale (département d'obtention du baccalauréat) : Non renseigné;Attractivité départementale (département d'obtention du baccalauréat) : Non bacheliers;Etudiants en mobilité internationale;Attractivité internationale : Etudiants de nationalité étrangère issus de système éducatif étranger;Cycle universitaire (cursus LMD) : L (1er cycle);Cycle universitaire (cursus LMD) : M (2ème cycle);Cycle universitaire (cursus LMD) : D (3ème cycle);Type de diplôme : Diplômes nationaux;Type de diplôme : Diplômes d'établissement;Diplôme préparé : Diplôme d'accès aux études universitaires;Diplôme préparé : Capacité en droit;Diplôme préparé : Licence accès santé;Diplôme préparé : Licence sciences pour la santé (majeure santé);Diplôme préparé : Licence CPES;Diplôme préparé : Diplôme universitaire de technologie;Diplôme préparé : Bachelor universitaire de technologie;Diplôme préparé : Post-DUT;Diplôme préparé : CPGE universitaire;Diplôme préparé : Formations d'ingénieurs;Diplôme préparé : Formations d'IEP;Diplôme préparé : PASS et PluriPASS;Diplôme préparé : PACES;Diplôme préparé : Diplôme inter-universitaire;Diplôme préparé : Doctorat;Diplôme préparé : HDR;Diplôme préparé : Bachelor OF;Diplôme préparé : Préparations aux concours pour devenir enseignant et certifications;Diplôme préparé : Diplômes conférant le grade de Licence;Diplôme préparé : Diplômes conférant le grade de Master;Diplôme préparé : Diplôme de comptabilité et de gestion;Diplôme préparé : Diplôme d'études comptables et financières;Diplôme préparé : Diplôme d'études supérieures comptables et financières;Diplôme préparé : Diplôme préparatoire aux études comptables et financières;Diplôme préparé : Diplôme supérieur de comptabilité et de gestion;Diplôme préparé : Diplôme de l'École normale supérieure;Diplôme préparé : Diplômes nationaux conférant le grade de Licence;Diplôme préparé : Diplômes nationaux conférant le grade de Master;Diplôme préparé : Diplômes visés de commerce sans grade;Diplôme préparé : Diplômes de management conférant le grade de Master;Diplôme préparé : Diplômes visés niveau BAC + 5;Diplôme préparé : Diplômes de grand établissement conférant le grade de Licence;Diplôme préparé : Diplômes de grand établissement conférant le grade de Master;Diplôme préparé : Diplôme d'études universitaires générales d'Institut universitaire professionnalisé;Diplôme préparé : Licence d'Institut universitaire professionnalisé;Diplôme préparé : Maîtrise d'Institut universitaire professionnalisé;Diplôme préparé : Diplôme de recherche technologique;Diplôme préparé : Diplôme d'études universitaires générales (avant mise en place du LMD);Diplôme préparé : Diplôme d'études universitaires scientifiques et techniques;Diplôme préparé : Licence (avant mise en place du LMD);Diplôme préparé : Autres licences;Diplôme préparé : Licence professionnelle en 1 an;Diplôme préparé : Licence professionnelle en 2 ou 3 ans;Diplôme préparé : Diplôme d'études approfondies;Diplôme préparé : Diplôme d'études supérieures spécialisées;Diplôme préparé : Magistère homologué;Diplôme préparé : Maîtrise (avant mise en place du LMD);Diplôme préparé : Masters hors enseignement;Diplôme préparé : Master enseignement;Diplôme préparé : Maîtrise de sciences de gestion;Diplôme préparé : Maîtrise de science et technique;Diplôme préparé : Passeport pour réussir et s'orienter;Diplôme préparé : Passerelle;Diplôme préparé : Dispositif rebond;Diplôme préparé : Formations paramédicales;Diplôme préparé : Titres homologués RNCP;Grande discipline : Droit, sciences économiques, AES;Grande discipline : Lettres, langues et sciences humaines;Grande discipline : Théologie;Grande discipline : Sciences et sciences de l'ingénieur;Grande discipline : STAPS;Grande discipline : Santé;Grande discipline : Interdisciplinaire;Grande discipline : Non défini;Discipline : Droit, sciences politiques;Discipline : Sciences économiques, gestion;Discipline : Administration économique et sociale;Discipline : Pluridisciplinaire droit, sciences économiques, AES;Discipline : Lettres, sciences du langage, arts;Discipline : Langues;Discipline : Sciences humaines et sociales;Discipline : Pluridisciplinaire lettres, langues, sciences humaines;Discipline : Théologie;Discipline : Sciences de la vie, de la terre et de l'univers;Discipline : Sciences fondamentales et applications;Discipline : Pluridisciplinaire sciences;Discipline : STAPS;Discipline : Médecine;Discipline : Odontologie;Discipline : Pharmacie;Discipline : Pluridisciplinaire santé;Discipline : Interdisciplinaire;Discipline : Non défini;Secteur disciplinaire : Sciences juridiques;Secteur disciplinaire : Sciences politiques;Secteur disciplinaire : Pluridisciplinaire droit, sciences politiques;Secteur disciplinaire : Sciences économiques;Secteur disciplinaire : Sciences de gestion;Secteur disciplinaire : Pluridisciplinaire sciences économiques et gestion;Secteur disciplinaire : Administration économique et sociale;Secteur disciplinaire : Pluridisciplinaire droit, sciences économiques, AES;Secteur disciplinaire : Sciences du langage, linguistique;Secteur disciplinaire : Langues et littératures anciennes;Secteur disciplinaire : Langues et littératures françaises;Secteur disciplinaire : Littérature générale et comparée;Secteur disciplinaire : Arts;Secteur disciplinaire : Pluridisciplinaire lettres, sciences du langage, arts;Secteur disciplinaire : Français, langue étrangère;Secteur disciplinaire : Langues et littératures étrangères;Secteur disciplinaire : Langues étrangères appliquées;Secteur disciplinaire : Cultures et langues régionales;Secteur disciplinaire : Pluridisciplinaire langues;Secteur disciplinaire : Philosophie, épistémologie;Secteur disciplinaire : Histoire;Secteur disciplinaire : Géographie;Secteur disciplinaire : Aménagement;Secteur disciplinaire : Archéologie, ethnologie, préhistoire;Secteur disciplinaire : Sciences religieuses;Secteur disciplinaire : Psychologie;Secteur disciplinaire : Sociologie, démographie;Secteur disciplinaire : Sciences de l'éducation;Secteur disciplinaire : Sciences de l'information et la communication;Secteur disciplinaire : Pluridisciplinaire sciences humaines et sociales;Secteur disciplinaire : Pluridisciplinaire lettres, langues, sciences humaines;Secteur disciplinaire : Théologie catholique;Secteur disciplinaire : Sciences de l'univers;Secteur disciplinaire : Sciences de la vie;Secteur disciplinaire : Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;Secteur disciplinaire : Mathématiques;Secteur disciplinaire : Physique;Secteur disciplinaire : Chimie;Secteur disciplinaire : Mathématiques appliquées et sciences sociales;Secteur disciplinaire : Mécanique, génie mécanique;Secteur disciplinaire : Génie civil;Secteur disciplinaire : Génie des procédés;Secteur disciplinaire : Informatique;Secteur disciplinaire : Électronique, génie électrique;Secteur disciplinaire : Technologie et sciences industrielles;Secteur disciplinaire : Formation générale aux métiers de l'ingénieur;Secteur disciplinaire : Mathématique et informatique;Secteur disciplinaire : Physique et chimie;Secteur disciplinaire : Pluridisciplinaire sciences fondamentales et applications;Secteur disciplinaire : Pluridisciplinaire sciences;Secteur disciplinaire : STAPS;Secteur disciplinaire : Médecine;Secteur disciplinaire : Odontologie;Secteur disciplinaire : Pharmacie;Secteur disciplinaire : Pluridisciplinaire santé;Secteur disciplinaire : Interdisciplinaire;Secteur disciplinaire : Non défini;Degré d’études : Inférieur ou égal au baccalauréat;Degré d’études : BAC + 1;Degré d’études : BAC + 2;Degré d’études : BAC + 3;Degré d’études : BAC + 4;Degré d’études : BAC + 5;Degré d’études : BAC + 6 et plus;Degré d’études : Non connu;etablissement_id_paysage_actuel;Dernier établissement;etablissement_id_region;Région du siège de l’établissement;etablissement_id_academie;Académie du siège de l’établissement;etablissement_id_departement;Département du siège de l’établissement;etablissement_id_uucr;Unité urbaine ou commune rurale du siège de l’établissement;etablissement_code_commune;Commune du siège de l’établissement;rentree;annee
Sans double compte des établissements-composantes pour les EPE;2006-07;Université;Université pluridisciplinaire avec santé;06SE7;Université de Bretagne Occidentale;Q1857334;01b8h3982;0290346U;15887;16680;16413;17211;3149;3607;0;9089;6798;11970;1343;1087;140;1347;;628;9178;4734;1347;;;215;56;14269;1347;1068;1051;10766;4553;568;15289;598;87;;;;;1962;;98;;231;;;;;557;11;;36;;;;;;;;;;;;;;;;;;;;;33;;7058;628;;;;;;2669;;;;;;;;;4134;4904;;3950;658;2241;;;1283;2188;663;;696;1362;2422;424;;1617;2290;43;658;2117;124;;;;;1228.0;;55.0;154.0;1834.0;200.0;663.0;;;28.0;439.0;;3.0;226.0;99.0;775.0;424.0;46.0;18.0;56.0;491.0;152.0;106.0;29.0;;962.0;343.0;;33.0;250.0;424.0;;166.0;1189.0;262.0;238.0;307.0;147.0;66.0;182.0;;93.0;290.0;461.0;287.0;;;;219.0;43.0;658.0;2117.0;124.0;;;;;87;4766;3136;3283;1752;1500;1363;;e2uv7;Université de Bretagne Occidentale;R53;Bretagne;A14;Rennes;D029;Finistère;UU29701;Brest;29019;Brest;2006;2007
Sans double compte des établissements-composantes pour les EPE;2006-07;Autre établissement;;0cO4r;Institut universitaire de formation des maîtres de Nantes;;;0442199B;3153;3153;3153;3153;0;0;0;1579;1574;2921;57;84;8;83;;188;2194;688;83;;;;3070;;83;9;7;;3153;;3153;;;;;;;;;;;;;;;;;;;3153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;2281;;495;287;;;;;90;;;200;338;1743;;;61;434;;287;;;;;;;;;;70.0;20.0;;;;;13.0;187.0;;;;;338.0;;;;5.0;259.0;1.0;;;;;;1447.0;31.0;;;;;61.0;;203.0;137.0;;;;;9.0;;11.0;74.0;;;;;;287.0;;;;;;;;;;5;2037;1015;96;;qUCQp;Nantes Université;R52;Pays de la Loire;A17;Nantes;D044;Loire-Atlantique;UU44701;Nantes;44109;Nantes;2006;2007
Sans double compte des établissements-composantes pour les EPE;2006-07;École;;1tI7C;Centrale Méditerranée;Q273454;040baw385;0133774G;518;518;518;518;0;0;0;143;375;485;;9;;24;;107;375;12;24;;;48;16;430;24;38;28;;518;;518;;;;;;;;;;;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518;;;;;;;;;;;;;;;518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;518.0;;;;;;;;;;;;;;;;188;169;161;;;1tI7C;Centrale Méditerranée;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;D013;Bouches-du-Rhône;UU00759;Marseille-Aix-en-Provence;13213;Marseille 13e;2006;2007
Sans double compte des établissements-composantes pour les EPE;2007-08;École;;1tI7C;Centrale Méditerranée;Q273454;040baw385;0133774G;544;544;544;544;0;0;0;154;390;475;;6;;63;;92;382;7;63;;;48;19;414;63;80;68;;544;;544;;;;;;;;;;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544;;;;;;;;;;;;;;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;544.0;;;;;;;;;;;;;;;;158;180;206;;;1tI7C;Centrale Méditerranée;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;D013;Bouches-du-Rhône;UU00759;Marseille-Aix-en-Provence;13213;Marseille 13e;2007;2008
Sans double compte des établissements-composantes pour les EPE;2007-08;Autre établissement;;2Cd6T;Institut universitaire de formation des maîtres de Montpellier;;;0341818S;2755;2758;2755;2758;0;0;0;1919;836;2504;95;65;14;77;;204;1850;624;77;;;;;2678;77;20;22;;2755;;2755;;;;;;;;;;;;;;;;;;;2755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;2161;;330;180;;;;;84;;;264;365;1532;;;63;267;;180;;;;;;;;;;74.0;10.0;;;;;31.0;148.0;;85.0;;;356.0;;9.0;;8.0;195.0;2.0;;;;;;1286.0;41.0;;;;;63.0;;131.0;101.0;1.0;;;;;;9.0;25.0;;;;;;180.0;;;;;;;;;;;1841;892;22;;evv7S;Université de Montpellier;;;;;;;;;;;2007;2008
Sans double compte des établissements-composantes pour les EPE;2007-08;École;;3GxJ8;Institut national des sciences appliquées de Rennes;Q1934614;04xaa4j22;0350097R;1462;1462;1462;1462;217;217;0;278;1184;1299;;;;163;;140;1081;78;163;;;28;51;1220;163;173;152;;1462;;1462;;;;;;;;;;;1462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1462;;;;;;;;;;;;;;;1462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1462.0;;;;;;;;;;;;;;259;268;329;296;310;;;3GxJ8;Institut national des sciences appliquées de Rennes;R53;Bretagne;A14;Rennes;D035;Ille-et-Vilaine;UU35701;Rennes;35238;Rennes;2007;2008
Sans double compte des établissements-composantes pour les EPE;2006-07;Université;Université pluridisciplinaire avec santé;4JIV8;Université de Metz;Q1465237;;0572081C;13987;14284;14095;14467;2728;2916;0;7653;6334;9268;1187;1194;490;1848;;385;7038;4716;1848;;;102;367;11670;1848;1653;1490;10453;2998;536;13940;47;206;50;;;;1870;;4;;;;;;;529;7;;32;;;;;;;;;;;;;;;;;;105;;;;;7674;616;;;;;;2831;;;;;;;;;3913;6183;;3650;241;;;;1126;2218;569;;1800;1142;3241;;;732;2872;46;241;;;;;;;1126.0;;;336.0;1882.0;;569.0;;349.0;4.0;541.0;3.0;903.0;;8.0;546.0;447.0;;141.0;68.0;454.0;99.0;136.0;14.0;112.0;962.0;699.0;;673.0;24.0;;;;732.0;;287.0;236.0;164.0;;476.0;6.0;48.0;651.0;137.0;126.0;;206.0;199.0;336.0;46.0;241.0;;;;;;;250;4607;2725;2871;1689;1309;536;;t6Cq5;Université de Lorraine;R44;Grand Est;A12;Nancy-Metz;D057;Moselle;UU57701;Metz;57463;Metz;2006;2007
Sans double compte des établissements-composantes pour les EPE;2006-07;Université;Université tertiaire - droit et économie;542Id;Université Toulouse Capitole;Q590201;0443n9e75;0311382J;15088;15210;18252;18430;1970;2047;0;8732;6356;10898;1526;257;174;2233;;584;7968;4303;2233;;;592;809;11454;2233;2339;1758;8572;5760;756;14053;1035;;143;;;;281;;0;;;;;;;747;9;;27;;;;103;106;;;;;;;;;;;;;;;;70;;7506;268;;;;64;;4729;;;;;;;;;14106;234;;748;;;;;7683;4745;1678;;;4;230;;;;748;;;;;;;;;7406.0;277.0;;1738.0;1903.0;1104.0;1678.0;;;;;;;;;4.0;;;;;;;14.0;;;;16.0;;200.0;;;;;;;67.0;;;;;;21.0;489.0;;86.0;;;;85.0;;;;;;;;;112;3349;2283;2873;3446;2256;769;;gap5Q;Université Toulouse Capitole;R76;Occitanie;A16;Toulouse;D031;Haute-Garonne;UU00758;Toulouse;31555;Toulouse;2006;2007
Sans double compte des établissements-composantes pour les EPE;2008-09;Université;Université tertiaire - droit et économie;542Id;Université Toulouse Capitole;Q590201;0443n9e75;0311382J;15201;15309;18350;18505;2129;2199;0;8867;6334;10817;1376;278;181;2549;;601;8013;4038;2549;4936;2830;4171;715;;2549;2658;2149;9203;5235;763;14633;568;;175;;;;391;;;;;;;;;758;5;;13;;;123;;;;54;;;;;;;;;;;;;;;;8030;280;;;;48;;4756;;;;;;;;;14205;303;;693;;;;;7581;5224;1400;;;7;296;;;;693;;;;;;;;;7326.0;255.0;;1663.0;2279.0;1282.0;1400.0;;;;;;;;;7.0;;;;;;;9.0;;;;8.0;;279.0;;;;;;;86.0;;;;;;8.0;495.0;;104.0;;;;;;;;;;;;;141;3870;2316;2901;2888;2305;780;;gap5Q;Université Toulouse Capitole;R76;Occitanie;A16;Toulouse;D031;Haute-Garonne;UU00758;Toulouse;31555;Toulouse;2008;2009
Sans double compte des établissements-composantes pour les EPE;2007-08;Autre établissement;;567cK;Institut universitaire de formation des maîtres de Nice;;;0061758D;1918;1918;1918;1918;0;0;0;1466;452;1754;74;31;2;57;;137;1274;450;57;;;;;1861;57;10;11;;1918;;1918;;;;;;;;;;;;;;;;;;;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;1576;;263;64;;;;;15;;;152;243;1181;;;39;224;;64;;;;;;;;;;14.0;1.0;;;;;15.0;128.0;;9.0;;;243.0;;;;6.0;106.0;;;;;;;1042.0;27.0;;;;;39.0;;106.0;101.0;1.0;;;;;;;16.0;;;;;;64.0;;;;;;;;;;;1277;613;28;;s3t8T;Université Côte d'Azur;;;;;;;;;;;2007;2008
