indicatorId,geoUnit,year,type,subtype,value
MOR.5T8.40510,ABW,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ABW,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AFG,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AGO,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AIA,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ALB,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,AND,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARE,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARE,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2002,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2003,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2004,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2005,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2006,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2007,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2008,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2009,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2010,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2011,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2012,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2013,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2014,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2015,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2016,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2017,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2018,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2019,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2020,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2021,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARG,2022,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2000,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2001,Source,Data sources,UIS Education Survey
MOR.5T8.40510,ARM,2002,Source,Data sources,UIS Education Survey
